algo,test,k,num-threads,time,space
kiss-1,chm13v2.0,256,1,329.629509238,16378793984
kiss-1,chm13v2.0,256,2,176.847181145,16383180800
kiss-1,chm13v2.0,256,4,96.63694388500001,16392105984
kiss-1,chm13v2.0,256,8,56.250732713000005,16409759744
kiss-1,mouse,256,1,284.798022055,14336299008
kiss-1,mouse,256,2,152.576614075,14340591616
kiss-1,mouse,256,4,83.629637508,14349488128
kiss-1,mouse,256,8,49.468925281000004,14367047680
kiss-1,zebrafish,256,1,170.49462849,8828862464
kiss-1,zebrafish,256,2,90.84557050400001,8833220608
kiss-1,zebrafish,256,4,50.486326835,8842121216
kiss-1,zebrafish,256,8,29.333185471,8859652096
kiss-1,chm13v2.0,256,1,330.212084192,16378707968
kiss-1,chm13v2.0,256,2,176.595341641,16383291392
kiss-1,chm13v2.0,256,4,96.593779569,16392187904
kiss-1,chm13v2.0,256,8,56.424983531,16409698304
kiss-1,mouse,256,1,284.250622863,14336057344
kiss-1,mouse,256,2,152.788408519,14340501504
kiss-1,mouse,256,4,83.398293079,14349516800
kiss-1,mouse,256,8,49.319329408,14367125504
kiss-1,zebrafish,256,1,170.625895232,8828821504
kiss-1,zebrafish,256,2,90.579682402,8833224704
kiss-1,zebrafish,256,4,49.878967396,8842039296
kiss-1,zebrafish,256,8,29.472730690000002,8859721728
kiss-1,chm13v2.0,256,1,330.41854597500003,16378859520
kiss-1,chm13v2.0,256,2,176.881902249,16383311872
kiss-1,chm13v2.0,256,4,96.47267594300001,16392007680
kiss-1,chm13v2.0,256,8,56.20086903200001,16409575424
kiss-1,mouse,256,1,284.54018211600004,14336241664
kiss-1,mouse,256,2,151.749205296,14340591616
kiss-1,mouse,256,4,83.433909681,14349422592
kiss-1,mouse,256,8,49.64341582,14367023104
kiss-1,zebrafish,256,1,171.60219563,8828784640
kiss-1,zebrafish,256,2,90.84777820500001,8833327104
kiss-1,zebrafish,256,4,49.796800469000004,8842141696
kiss-1,zebrafish,256,8,29.339078806000003,8859652096
kiss-2,chm13v2.0,256,1,424.34263526700005,15921766400
kiss-2,chm13v2.0,256,2,228.46926018500002,15926374400
kiss-2,chm13v2.0,256,4,123.61832441400001,15934509056
kiss-2,chm13v2.0,256,8,71.746363453,15952461824
kiss-2,mouse,256,1,373.55812505100005,13937758208
kiss-2,mouse,256,2,199.475904914,13942161408
kiss-2,mouse,256,4,108.89985727800001,13950537728
kiss-2,mouse,256,8,64.202684561,13968015360
kiss-2,zebrafish,256,1,281.80143113500003,8584335360
kiss-2,zebrafish,256,2,149.709331276,8589017088
kiss-2,zebrafish,256,4,82.83373801900001,8601587712
kiss-2,zebrafish,256,8,48.054603887000006,8619122688
kiss-2,chm13v2.0,256,1,424.40086725000003,15921770496
kiss-2,chm13v2.0,256,2,229.03903712000002,15926194176
kiss-2,chm13v2.0,256,4,124.178987409,15934681088
kiss-2,chm13v2.0,256,8,72.036525462,15952318464
kiss-2,mouse,256,1,373.680803583,13937713152
kiss-2,mouse,256,2,199.65900847600003,13942120448
kiss-2,mouse,256,4,109.219957523,13950590976
kiss-2,mouse,256,8,63.835208654000006,13968216064
kiss-2,zebrafish,256,1,281.69788124,8584310784
kiss-2,zebrafish,256,2,148.720890133,8588820480
kiss-2,zebrafish,256,4,81.61483692200001,8601542656
kiss-2,zebrafish,256,8,48.031104379000006,8619122688
kiss-2,chm13v2.0,256,1,424.402186501,15921729536
kiss-2,chm13v2.0,256,2,228.94664359100003,15926194176
kiss-2,chm13v2.0,256,4,124.17265223000001,15934619648
kiss-2,chm13v2.0,256,8,71.506715889,15952445440
kiss-2,mouse,256,1,373.53184798,13937545216
kiss-2,mouse,256,2,200.272447241,13942136832
kiss-2,mouse,256,4,108.56393277900001,13950685184
kiss-2,mouse,256,8,64.05205504700001,13968232448
kiss-2,zebrafish,256,1,281.83778352,8584409088
kiss-2,zebrafish,256,2,149.78720166000002,8588955648
kiss-2,zebrafish,256,4,82.109498766,8601477120
kiss-2,zebrafish,256,8,48.075398358,8619159552
