algo,test,k,time
kiss-new,mouse,128,57.731047228
kiss-new,zebrafish,4,128.268863669
kiss-new,zebrafish,8,75.43703727500001
kiss-new,zebrafish,16,61.82190078200001
kiss-new,zebrafish,32,39.324344313000005
kiss-new,zebrafish,64,38.438771256
kiss-new,zebrafish,128,37.151219752
kiss,dna,1,24.028082202
kiss,dna,2,13.477138836
kiss,protein,1,31.041748352000003
kiss,protein,2,16.808228843000002
kiss,hs37d5,1,811.949848973
kiss,hs37d5,2,438.28998551
kiss,mouse,1,711.4637351020001
kiss,mouse,2,384.029214189
kiss,zebrafish,1,431.20197584000005
kiss,zebrafish,2,233.86830698400001
kiss,dna,1,24.129783616
kiss,dna,2,12.994522784
kiss,protein,1,30.876575973
kiss,protein,2,16.162672643
kiss,hs37d5,1,808.099056147
kiss,hs37d5,2,441.806126301
kiss,mouse,1,712.108186446
kiss,mouse,2,388.03978060400004
kiss,zebrafish,1,430.252211267
kiss,zebrafish,2,233.369279253
kiss,dna,1,24.167519432000002
kiss,dna,2,12.992023562
kiss,protein,1,30.955974321000003
kiss,protein,2,17.518785008000002
kiss,hs37d5,1,808.741944482
kiss,hs37d5,2,443.96531821
kiss,mouse,1,710.7617736130001
kiss,mouse,2,391.940622867
kiss,zebrafish,1,430.005150054
kiss,zebrafish,2,233.035700472
kiss-new,dna,1,23.400538048
kiss-new,dna,2,13.290008007
kiss-new,protein,1,34.025290175
kiss-new,protein,2,18.60265768
kiss-new,hs37d5,1,719.6729519700001
kiss-new,hs37d5,2,395.342074312
kiss-new,mouse,1,627.022903784
kiss-new,mouse,2,345.18728211200005
kiss-new,zebrafish,1,464.36491004600003
kiss-new,zebrafish,2,252.70229306000002
kiss-new,dna,1,23.532073765
kiss-new,dna,2,12.979522153000001
kiss-new,protein,1,34.227539263000004
kiss-new,protein,2,17.948879327
kiss-new,hs37d5,1,719.2647579740001
kiss-new,hs37d5,2,394.958421797
kiss-new,mouse,1,627.778404068
kiss-new,mouse,2,343.648873841
kiss-new,zebrafish,1,464.508117808
kiss-new,zebrafish,2,251.425090463
kiss-new,dna,1,23.49587517
kiss-new,dna,2,13.436046758000002
kiss-new,protein,1,34.007111126000005
kiss-new,protein,2,18.284103701
kiss-new,hs37d5,1,720.315170583
kiss-new,hs37d5,2,395.96979473100004
kiss-new,mouse,1,627.7129591170001
kiss-new,mouse,2,367.120152706
kiss-new,zebrafish,1,468.25842421000004
kiss-new,zebrafish,2,252.55922874
