algo,test,k,time,space
kiss,marmoset,64,70.488733624,15462128263
kiss,marmoset,128,70.33560430600001,15462128263
kiss,marmoset,256,70.901725533,15462128263
kiss,marmoset,512,71.451039972,15462128263
kiss,marmoset,1024,71.078095151,15462128263
kiss,marmoset,2048,70.821557564,15462128263
kiss,marmoset,0,71.276076755,15462128263
kiss,example,2,0.098188169,21725148
kiss,example,4,0.10832477200000001,21725148
kiss,example,8,0.10717933800000001,21725148
kiss,example,16,0.10873774000000001,21725148
kiss,example,32,0.10796053900000001,21725148
kiss,example,64,0.103035096,21725148
kiss,example,128,0.089220174,21725148
kiss,example,256,0.10884523800000001,21725148
kiss,example,512,0.09503164,21725148
kiss,example,1024,0.11919344300000001,21725148
kiss,example,2048,0.11276672400000001,21725148
kiss,example,0,0.10971802600000001,21725148
kiss,hs37d5,2,45.641546410000004,16854241757
kiss,hs37d5,4,50.297695303000005,16854241757
kiss,hs37d5,8,67.244420133,16854241757
kiss,hs37d5,16,72.254935844,16854241757
kiss,hs37d5,32,73.981426778,16854241757
kiss,hs37d5,64,74.80256900900001,16854241757
kiss,hs37d5,128,75.378390252,16854241757
kiss,hs37d5,256,75.316539879,16854241757
kiss,hs37d5,512,76.035026172,16854241757
kiss,hs37d5,1024,76.369378838,16854241757
kiss,hs37d5,2048,76.367904433,16854241757
kiss,hs37d5,0,97.30252368100001,16854241757
kiss,dna,2,1.4216779380000002,558610208
kiss,dna,4,1.4308636650000002,558609920
kiss,dna,8,1.63653595,558609920
kiss,dna,16,1.595765593,558610208
kiss,dna,32,1.579057257,558609920
kiss,dna,64,1.6593948630000002,558610208
kiss,dna,128,1.717225001,558610208
kiss,dna,256,1.9000782930000002,558610208
kiss,dna,512,2.097324894,558610208
kiss,dna,1024,2.413306072,558609920
kiss,dna,2048,2.65516005,558609920
kiss,dna,0,2.6943487590000004,558610208
kiss,protein,2,1.6953763430000002,558611200
kiss,protein,4,1.8079557960000001,558611200
kiss,protein,8,1.890160059,558610912
kiss,protein,16,1.77585981,558611200
kiss,protein,32,1.834162043,558610912
kiss,protein,64,1.8760948160000002,558611200
kiss,protein,128,1.982670238,558610912
kiss,protein,256,2.134088959,558611200
kiss,protein,512,2.407440517,558610912
kiss,protein,1024,2.7204155020000003,558610912
kiss,protein,2048,2.9482113340000002,558611200
kiss,protein,0,2.934953761,558610912
kiss,mouse,2,40.392915343000006,14397600818
kiss,mouse,4,44.211804253000004,14397600818
kiss,mouse,8,59.33028534,14397600818
kiss,mouse,16,63.449449597000005,14397600818
kiss,mouse,32,64.515733068,14397600818
kiss,mouse,64,65.18719982100001,14397600818
kiss,mouse,128,66.148974318,14397600818
kiss,mouse,256,66.078026116,14397600818
kiss,mouse,512,66.43069430300001,14397600818
kiss,mouse,1024,66.96258686200001,14397600818
kiss,mouse,2048,66.68758311100001,14397600818
kiss,mouse,0,67.016257802,14397600818
kiss,zebrafish,2,25.774816270000002,9775524823
kiss,zebrafish,4,28.15034328,9775524823
kiss,zebrafish,8,36.931188355,9775525111
kiss,zebrafish,16,37.440395276000004,9775524823
kiss,zebrafish,32,38.568032001000006,9775524823
kiss,zebrafish,64,39.010391738,9775524823
kiss,zebrafish,128,39.463021483000006,9775524823
kiss,zebrafish,256,39.937911522,9775524823
kiss,zebrafish,512,40.304969001,9775524823
kiss,zebrafish,1024,40.845995159000005,9775524823
kiss,zebrafish,2048,41.328491109000005,9775524823
kiss,zebrafish,0,58.831216738,9775524823
kiss,african_clawed_frog,2,45.670816368000004,14751593695
kiss,african_clawed_frog,4,49.42554564100001,14751593695
kiss,african_clawed_frog,8,63.261165981000005,14751593695
kiss,african_clawed_frog,16,66.520848906,14751593695
kiss,african_clawed_frog,32,67.074238753,14751593695
kiss,african_clawed_frog,64,68.129120209,14751593695
kiss,african_clawed_frog,128,68.786530345,14751593695
kiss,african_clawed_frog,256,68.276614054,14751593695
kiss,african_clawed_frog,512,68.32627353000001,14751593695
