algo,test,k,time,space
kiss,dna,32,1.477064259,558740992
kiss,dna,64,1.529263604,558741280
kiss,dna,128,1.5957638280000002,558740992
kiss,dna,256,1.798846391,558740992
kiss,dna,512,2.063299517,558740992
kiss,dna,1024,2.3499139930000004,558741280
kiss,dna,2048,2.5530821610000003,558741280
kiss,dna,0,2.6526792830000003,558741280
kiss,protein,2,1.6334795100000001,558742272
kiss,protein,4,1.8536977280000002,558742272
kiss,protein,8,1.897883119,558741984
kiss,protein,16,1.7625596120000002,558742272
kiss,protein,32,1.805578904,558742272
kiss,protein,64,1.829803343,558741984
kiss,protein,128,1.960756595,558742272
kiss,protein,256,2.167659322,558741984
kiss,protein,512,2.491638349,558741984
kiss,protein,1024,2.7768257120000004,558742272
kiss,protein,2048,2.979853879,558742272
kiss,protein,0,3.043275275,558741984
kiss,hs37d5,2,43.752885059,16854372829
kiss,hs37d5,4,49.305779443000006,16854372829
kiss,hs37d5,8,61.931899292000004,16854372829
kiss,hs37d5,16,61.156707909000005,16854372829
kiss,hs37d5,32,62.415075937000005,16854372829
kiss,hs37d5,64,63.247249802000006,16854372829
kiss,hs37d5,128,63.397458011000005,16854372829
kiss,hs37d5,256,63.677889374,16854372829
kiss,hs37d5,512,64.064134658,16854372829
kiss,hs37d5,1024,64.237756831,16854372829
kiss,hs37d5,2048,64.13449526800001,16854372829
kiss,hs37d5,0,87.12321452,16854372829
kiss,mouse,2,38.439668396,14397731890
kiss,mouse,4,43.427727336000004,14397731890
kiss,mouse,8,54.401441749,14397731890
kiss,mouse,16,53.360507755,14397731890
kiss,mouse,32,54.444103466,14397731890
kiss,mouse,64,54.990515301,14397731890
kiss,mouse,128,55.339732124,14397731890
kiss,mouse,256,55.599993609,14397731890
kiss,mouse,512,56.123621795000005,14397731890
kiss,mouse,1024,56.49124242600001,14397731890
kiss,mouse,2048,56.302178131000005,14397731890
kiss,mouse,0,56.380244134,14397731890
kiss,zebrafish,2,24.56278108,9775655895
kiss,zebrafish,4,27.570877590000002,9775655895
kiss,zebrafish,8,34.289274644,9775656183
kiss,zebrafish,16,31.769193749000003,9775655895
kiss,zebrafish,32,32.704008692,9775655895
kiss,zebrafish,64,33.211794003,9775655895
kiss,zebrafish,128,33.685794817,9775655895
kiss,zebrafish,256,34.001817826,9775655895
kiss,zebrafish,512,34.477243338,9775655895
kiss,zebrafish,1024,34.992778724000004,9775655895
kiss,zebrafish,2048,35.501364465,9775655895
kiss,zebrafish,0,53.107136172000004,9775655895
kiss,african_clawed_frog,2,44.731827961,14751724767
kiss,african_clawed_frog,4,52.987849909000005,14751724767
kiss,african_clawed_frog,8,58.98311306,14751725055
kiss,african_clawed_frog,16,57.343142470000004,14751724767
kiss,african_clawed_frog,32,57.943595824000006,14751724767
kiss,african_clawed_frog,64,58.564233588,14751724767
kiss,african_clawed_frog,128,58.869953402,14751724767
kiss,african_clawed_frog,256,58.608799696000005,14751724767
kiss,african_clawed_frog,512,59.501398966000004,14751724767
kiss,african_clawed_frog,1024,59.485235709,14751724767
kiss,african_clawed_frog,2048,59.672999604000005,14751724767
kiss,african_clawed_frog,0,59.073018590000004,14751724767
kiss,cat,2,36.007876463,14297649076
kiss,cat,4,40.8212725,14297649076
kiss,cat,8,52.03507839,14297649076
kiss,cat,16,50.382995147,14297649076
kiss,cat,32,51.120657345000005,14297649076
kiss,cat,64,51.651079099,14297648788
kiss,cat,128,52.18845798,14297649076
kiss,cat,256,51.76497529700001,14297649076
kiss,cat,512,51.548037927,14297649076
kiss,cat,1024,51.627752698,14297649076
kiss,cat,2048,51.665372419,14297649076
kiss,cat,0,51.551944218,14297649076
kiss,chicken,2,15.338093456000001,5996845574
kiss,chicken,4,17.317905914,5996845286
kiss,chicken,8,21.975625224,5996845574
kiss,chicken,16,20.99980983,5996845574
kiss,chicken,32,21.12842015,5996845574
kiss,chicken,64,21.190355655,5996845574
kiss,chicken,128,21.363129805,5996845286
kiss,chicken,256,21.357725535,5996845286
kiss,chicken,512,21.375144973,5996845574
kiss,chicken,1024,21.188051972,5996845574
kiss,chicken,2048,21.260459682,5996845574
kiss,chicken,0,21.182527265,5996845574
kiss,dog,2,33.342847292,13466105056
kiss,dog,4,37.700824808,13466105056
kiss,dog,8,47.475542226,13466105056
kiss,dog,16,46.751015337000005,13466105056
kiss,dog,32,47.507165632,13466105056
kiss,dog,64,47.844505598000005,13466105056
kiss,dog,128,47.959505187000005,13466105056
kiss,dog,256,47.769946346000005,13466105056
kiss,dog,512,47.882390282,13466105760
kiss,dog,1024,47.805770884000005,13466105056
kiss,dog,2048,48.15053084,13466105056
kiss,dog,0,48.278921078,13466105056
kiss,marmoset,2,42.097865247,15462259335
kiss,marmoset,4,48.622089309,15462259335
kiss,marmoset,8,62.024120527,15462259335
kiss,marmoset,16,60.573829037,15462259335
kiss,marmoset,32,62.557318932,15462259335
kiss,marmoset,64,60.02261802100001,15462259335
kiss,marmoset,128,60.083845761000006,15462259335
kiss,marmoset,256,59.823376550000006,15462259335
