SA_INTV,pattern_length,fmtree,naive
5,24,0.438531359,9.394804697000001
5,30,0.32821189300000003,2.775807384
5,12,6.576136866000001,140.702088851
5,18,0.949364681,35.176601036
5,24,0.439428894,9.377005188
5,30,0.309376877,2.7631502820000002
5,12,6.0445165030000005,141.297030197
5,18,1.08281487,35.122634377000004
5,24,0.47966559400000003,9.37277632
5,30,0.323403049,2.768626909
5,12,5.999791508,141.053557509
5,18,1.082666264,35.129472348
5,24,0.43860342100000005,9.389421912000001
5,30,0.32221840300000004,2.769761567
5,12,6.521974769000001,141.083438359
5,18,0.9584681150000001,35.18745362
5,24,0.44431177400000005,9.381626806
5,30,0.30751110800000003,2.7615313450000003
6,12,11.105133058,178.824456085
6,18,1.340638285,43.80398516
6,24,0.570565682,11.614540252000001
6,30,0.38048927400000004,3.3820545600000003
6,12,10.597024882000001,179.330875467
6,18,1.207215913,43.789210557000004
6,24,0.57120543,11.612457645000001
6,30,0.38095330200000005,3.3813924440000003
6,12,10.342681943,178.956081672
6,18,1.240131149,43.807716083
6,24,0.5929336070000001,11.569681409000001
6,30,0.386755709,3.389223523
6,12,10.537045725,179.28041015600002
6,18,1.38155618,43.866835291
6,24,0.5934309170000001,11.621597733000002
6,30,0.377448655,3.3755518
6,12,11.059506681,179.361208256
6,18,1.224691178,43.79456684
6,24,0.592651899,11.617176622
6,30,0.396171521,3.3974395110000004
7,12,17.27138778,218.428569334
7,18,1.7453767230000001,52.71249488
7,24,0.855959675,13.932916466
7,30,0.496572659,4.011335381
7,12,17.396396768000002,218.105278558
7,18,1.8745760820000001,52.66814268500001
7,24,0.790196616,13.896982437
7,30,0.489822007,4.010485181
7,12,17.060007907000003,217.825403345
7,18,1.768736486,52.65603268500001
7,24,0.8411496460000001,13.915698398000002
7,30,0.507450321,4.024359793
7,12,17.396253982,217.966254254
7,18,1.722466266,52.570190753000006
7,24,0.8082877260000001,13.913944042
7,30,0.487055687,4.0102159660000005
7,12,17.745165717000003,217.95165235000002
7,18,1.8676764140000002,52.57997752
7,24,0.793732816,13.917370621000002
7,30,0.49432775500000004,4.0184639230000005
8,12,25.909434122,257.06902708
8,18,2.844270412,61.255265257000005
8,24,1.264481949,16.037582913
8,30,0.7061701490000001,4.617424918
8,12,27.224094669000003,259.032523291
8,18,2.743774358,61.250771031000006
8,24,1.287529578,16.101580201
8,30,0.7126612090000001,4.636374782
8,12,26.951828220000003,257.72196138500004
8,18,2.797887443,61.509770497000005
8,24,1.310810279,16.131604465000002
8,30,0.6767656240000001,4.6105355260000005
8,12,26.596183089,256.960914361
8,18,2.851293982,61.200135956000004
8,24,1.312240262,16.135199489
8,30,0.6921372480000001,4.603032862
8,12,26.612258828,257.348175839
8,18,2.8682270730000003,61.272847795000004
8,24,1.315557386,16.193236136
8,30,0.686589298,4.597467867000001
