algo,test,k,num-threads,time,space
kiss-2,zebrafish,4,32,20.350918935000003,8725041152
kiss-2,zebrafish,8,32,23.84381781,8724996096
kiss-2,zebrafish,16,32,23.400898238,8724885504
kiss-2,zebrafish,32,32,24.819443612,8724889600
kiss-2,zebrafish,64,32,25.086608029,8724852736
kiss-2,zebrafish,128,32,25.613616552,8724983808
kiss-2,zebrafish,-1,32,28.178713954000003,8724885504
kiss-2,chm13v2.0,2,32,33.717540485,16058220544
kiss-2,chm13v2.0,4,32,35.484821244,16058175488
kiss-2,chm13v2.0,8,32,36.798642152,16058277888
kiss-2,chm13v2.0,16,32,37.874521941000005,16058204160
kiss-2,chm13v2.0,32,32,38.436312509000004,16058228736
kiss-2,chm13v2.0,64,32,40.077976328000005,16058281984
kiss-2,chm13v2.0,128,32,39.156272722000004,16058089472
kiss-2,chm13v2.0,-1,32,40.409327506000004,16058118144
kiss-2,mouse,2,32,33.472931312,14077124608
kiss-2,mouse,4,32,35.027756795,14076903424
kiss-2,mouse,8,32,36.082664613000006,14077026304
kiss-2,mouse,16,32,37.825690638000005,14077091840
kiss-2,mouse,32,32,37.4725352,14076923904
kiss-2,mouse,64,32,37.395491697000004,14076993536
kiss-2,mouse,128,32,37.702230767,14077173760
kiss-2,mouse,-1,32,38.717932257,14077157376
kiss-2,zebrafish,2,32,18.618214637,8724987904
kiss-2,zebrafish,4,32,20.393298296,8724959232
kiss-2,zebrafish,8,32,21.881043021,8724951040
kiss-2,zebrafish,16,32,23.238092301000002,8724787200
kiss-2,zebrafish,32,32,24.592326102,8724946944
kiss-2,zebrafish,64,32,25.030304433,8724942848
kiss-2,zebrafish,128,32,25.711330670000002,8724963328
kiss-2,zebrafish,-1,32,28.259332253,8724951040
kiss-1,chm13v2.0,256,1,326.778856706,16378683392
kiss-1,chm13v2.0,256,2,174.478202032,16383119360
kiss-1,chm13v2.0,256,4,95.66512924300001,16391946240
kiss-1,chm13v2.0,256,8,55.44199819000001,16409776128
kiss-1,mouse,256,1,281.909075748,14336208896
kiss-1,mouse,256,2,151.065871582,14340603904
kiss-1,mouse,256,4,84.37530485900001,14349516800
kiss-1,mouse,256,8,56.45766778,14367133696
kiss-1,zebrafish,256,1,193.324634226,8828956672
kiss-1,zebrafish,256,2,103.011477693,8833335296
kiss-1,zebrafish,256,4,55.906641141,8842153984
kiss-1,zebrafish,256,8,34.948642892,8859820032
kiss-1,chm13v2.0,256,1,376.43989391,16378785792
kiss-1,chm13v2.0,256,2,187.504660551,16383328256
kiss-1,chm13v2.0,256,4,106.65258524900001,16392200192
kiss-1,chm13v2.0,256,8,60.073147226,16409763840
kiss-1,mouse,256,1,651.334769284,14336208896
kiss-1,mouse,256,2,381.73926232400004,14340681728
kiss-1,mouse,256,4,189.02361371900002,14349402112
kiss-1,mouse,256,8,109.203919807,14367191040
kiss-1,zebrafish,256,1,330.38521971200004,8828833792
kiss-1,zebrafish,256,2,179.92887239,8833257472
kiss-1,zebrafish,256,4,94.893945352,8842162176
kiss-1,zebrafish,256,8,56.173926288000004,8859787264
kiss-1,chm13v2.0,256,1,677.04386903,16378814464
kiss-1,chm13v2.0,256,2,366.85818673100005,16383234048
kiss-1,chm13v2.0,256,4,187.157159683,16392175616
kiss-1,chm13v2.0,256,8,107.35219045000001,16409751552
kiss-1,mouse,256,1,433.094893684,14336245760
kiss-1,mouse,256,2,151.65827874200002,14340567040
kiss-1,mouse,256,4,83.21525495600001,14349385728
kiss-1,mouse,256,8,49.254790557,14367055872
kiss-1,zebrafish,256,1,170.050020705,8828874752
kiss-1,zebrafish,256,2,91.01972040000001,8833314816
kiss-1,zebrafish,256,4,49.960068846000006,8842117120
kiss-1,zebrafish,256,8,29.2148848,8859652096
kiss-2,chm13v2.0,256,1,424.40570750100005,15921790976
kiss-2,chm13v2.0,256,2,227.07216187600002,15926300672
kiss-2,chm13v2.0,256,4,124.15139968300001,15934877696
kiss-2,chm13v2.0,256,8,72.070671034,15952556032
kiss-2,mouse,256,1,373.508352209,13937733632
kiss-2,mouse,256,2,199.85158346600002,13942149120
kiss-2,mouse,256,4,108.811725897,13950697472
kiss-2,mouse,256,8,64.196537092,13968166912
kiss-2,zebrafish,256,1,281.82186423,8584417280
kiss-2,zebrafish,256,2,149.388156234,8588947456
kiss-2,zebrafish,256,4,81.09055627400001,8601300992
kiss-2,zebrafish,256,8,48.186733142,8619212800
kiss-2,chm13v2.0,256,1,435.343268194,15921676288
kiss-2,chm13v2.0,256,2,228.92254577000003,15926333440
kiss-2,chm13v2.0,256,4,124.54441280200001,15934656512
kiss-2,chm13v2.0,256,8,71.877955818,15952478208
kiss-2,mouse,256,1,373.760083119,13937721344
kiss-2,mouse,256,2,199.89148122100002,13942149120
kiss-2,mouse,256,4,109.36343701800001,13950619648
kiss-2,mouse,256,8,64.37286034200001,13968347136
kiss-2,zebrafish,256,1,283.14301396900004,8584417280
kiss-2,zebrafish,256,2,149.31553392400002,8588959744
kiss-2,zebrafish,256,4,81.41004781000001,8601452544
kiss-2,zebrafish,256,8,47.75048358,8619315200
kiss-2,chm13v2.0,256,1,468.114134658,15921922048
kiss-2,chm13v2.0,256,2,245.834475762,15926304768
kiss-2,chm13v2.0,256,4,132.616654006,15934832640
kiss-2,chm13v2.0,256,8,75.903608894,15952302080
kiss-2,mouse,256,1,390.241214558,13937676288
kiss-2,mouse,256,2,206.12060340500003,13942153216
kiss-2,mouse,256,4,112.220417349,13950586880
kiss-2,mouse,256,8,66.01812657500001,13968248832
kiss-2,zebrafish,256,1,280.166414511,8584564736
kiss-2,zebrafish,256,2,149.415805427,8588935168
kiss-2,zebrafish,256,4,80.788326186,8601415680
kiss-2,zebrafish,256,8,47.96167656,8619061248
libsais,chm13v2.0,-1,32,64.22192485400001,28079505408
libsais,mouse,-1,32,56.15958340700001,24577785856
libsais,zebrafish,-1,32,28.572278841000003,15121092608
libsais,chm13v2.0,-1,32,64.085613299,28079497216
libsais,mouse,-1,32,56.951077054,24577941504
libsais,zebrafish,-1,32,28.812048387,15121633280
libsais,chm13v2.0,-1,32,63.966135898000005,28079587328
libsais,mouse,-1,32,56.447156923,24577945600
libsais,zebrafish,-1,32,28.583877137,15120846848
kiss-1,human_protein_5640,2,32,0.906395319,202190848
kiss-1,human_protein_5640,4,32,0.9237753400000001,202305536
kiss-1,human_protein_5640,8,32,0.906180886,202186752
kiss-1,human_protein_5640,16,32,0.9250359730000001,202326016
kiss-1,human_protein_5640,32,32,0.910040469,202289152
kiss-1,human_protein_5640,64,32,0.9076013030000001,202260480
kiss-1,human_protein_5640,128,32,0.914921756,202371072
kiss-1,human_protein_5640,256,32,0.9069881750000001,202289152
kiss-1,human_protein_5640,-1,32,0.9060801610000001,202125312
kiss-1,mouse_protein_589,2,32,0.924733138,203898880
kiss-1,mouse_protein_589,4,32,0.922233217,203870208
kiss-1,mouse_protein_589,8,32,0.918303902,203972608
kiss-1,mouse_protein_589,16,32,0.9393428340000001,203878400
kiss-1,mouse_protein_589,32,32,0.921865499,203902976
kiss-1,mouse_protein_589,64,32,0.9243808960000001,203993088
kiss-1,mouse_protein_589,128,32,0.9198180090000001,203972608
kiss-1,mouse_protein_589,256,32,0.925034687,203993088
kiss-1,mouse_protein_589,-1,32,0.938518387,203812864
kiss-1,zebrafish_protein_437,2,32,1.2254692090000001,221241344
kiss-1,zebrafish_protein_437,4,32,1.239525602,221093888
kiss-1,zebrafish_protein_437,8,32,1.2141070520000001,221167616
kiss-1,zebrafish_protein_437,16,32,1.2229607470000001,221126656
kiss-1,zebrafish_protein_437,32,32,1.542398713,221216768
kiss-1,zebrafish_protein_437,64,32,1.231305619,221122560
kiss-1,zebrafish_protein_437,128,32,1.224815491,221122560
kiss-1,zebrafish_protein_437,256,32,1.2469191240000002,221196288
kiss-1,zebrafish_protein_437,-1,32,1.2507748360000002,221175808
kiss-1,human_protein_5640,2,32,0.9206152400000001,202182656
kiss-1,human_protein_5640,4,32,0.971751558,202080256
kiss-1,human_protein_5640,8,32,0.8995292850000001,202293248
kiss-1,human_protein_5640,16,32,0.9090623330000001,202317824
kiss-1,human_protein_5640,32,32,0.899504366,202272768
kiss-1,human_protein_5640,64,32,0.90346185,202293248
kiss-1,human_protein_5640,128,32,0.9172769630000001,202231808
kiss-1,human_protein_5640,256,32,0.902706757,202321920
kiss-1,human_protein_5640,-1,32,0.9071907640000001,202244096
kiss-1,mouse_protein_589,2,32,0.9205942930000001,204001280
kiss-1,mouse_protein_589,4,32,0.9206291870000001,203898880
kiss-1,mouse_protein_589,8,32,0.9857250390000001,203972608
kiss-1,mouse_protein_589,16,32,0.9226839630000001,203800576
kiss-1,mouse_protein_589,32,32,0.928672433,203935744
kiss-1,mouse_protein_589,64,32,0.934969369,203964416
kiss-1,mouse_protein_589,128,32,0.922008504,204054528
kiss-1,mouse_protein_589,256,32,0.925313865,203952128
kiss-1,mouse_protein_589,-1,32,0.924203258,203972608
kiss-1,zebrafish_protein_437,2,32,1.2238572680000002,221110272
kiss-1,zebrafish_protein_437,4,32,1.207504845,221196288
kiss-1,zebrafish_protein_437,8,32,1.2200994790000002,221196288
kiss-1,zebrafish_protein_437,16,32,1.221948405,221220864
kiss-1,zebrafish_protein_437,32,32,1.32475612,221118464
kiss-1,zebrafish_protein_437,64,32,1.2509722300000001,221163520
kiss-1,zebrafish_protein_437,128,32,1.3063953810000002,221216768
kiss-1,zebrafish_protein_437,256,32,1.311666322,221118464
kiss-1,zebrafish_protein_437,-1,32,1.2251492350000002,221044736
kiss-1,human_protein_5640,2,32,0.913728995,202334208
kiss-1,human_protein_5640,4,32,0.920919868,202227712
kiss-1,human_protein_5640,8,32,0.902448648,202186752
kiss-1,human_protein_5640,16,32,0.9023261220000001,202117120
kiss-1,human_protein_5640,32,32,0.9155822220000001,202215424
kiss-1,human_protein_5640,64,32,0.905470638,202289152
kiss-1,human_protein_5640,128,32,0.913781065,202268672
kiss-1,human_protein_5640,256,32,0.9060478000000001,202289152
kiss-1,human_protein_5640,-1,32,0.9742454850000001,202289152
kiss-1,mouse_protein_589,2,32,0.9305321740000001,203874304
kiss-1,mouse_protein_589,4,32,0.929109446,203976704
kiss-1,mouse_protein_589,8,32,0.9276862720000001,203972608
kiss-1,mouse_protein_589,16,32,0.9864769640000001,203997184
kiss-1,mouse_protein_589,32,32,0.9324190080000001,203976704
kiss-1,mouse_protein_589,64,32,0.9403688960000001,204013568
kiss-1,mouse_protein_589,128,32,0.920934063,203808768
kiss-1,mouse_protein_589,256,32,0.9227347400000001,203964416
kiss-1,mouse_protein_589,-1,32,0.923315345,203833344
kiss-1,zebrafish_protein_437,2,32,1.2064466870000001,221224960
kiss-1,zebrafish_protein_437,4,32,1.222053558,221122560
kiss-1,zebrafish_protein_437,8,32,1.210166587,221184000
kiss-1,zebrafish_protein_437,16,32,1.2119373,221122560
kiss-1,zebrafish_protein_437,32,32,1.219141671,221093888
kiss-1,zebrafish_protein_437,64,32,1.213641393,221184000
kiss-1,zebrafish_protein_437,128,32,1.221515675,221118464
kiss-1,zebrafish_protein_437,256,32,1.2609003650000001,221028352
kiss-1,zebrafish_protein_437,-1,32,1.234887085,221212672
