SA_INTV,pattern_length,fmtree,naive
1,12,9.615e-06,8.191e-06
1,18,6.773e-06,5.727e-06
1,24,7.082e-06,5.91e-06
1,30,5.303000000000001e-06,4.186e-06
1,12,4.911e-06,4.091e-06
1,18,5.093e-06,4.08e-06
1,24,4.899e-06,4.061000000000001e-06
1,30,5.02e-06,4.075e-06
1,12,5.38e-06,4.0930000000000005e-06
1,18,5.318000000000001e-06,4.068e-06
1,24,4.988e-06,4.0710000000000005e-06
1,30,5.008e-06,4.1170000000000006e-06
1,12,5.048000000000001e-06,4.073000000000001e-06
1,18,5.027e-06,4.086e-06
1,24,4.8490000000000005e-06,4.096e-06
1,30,4.942e-06,4.109e-06
1,12,5.005e-06,4.12e-06
1,18,5.4400000000000004e-06,4.103e-06
1,24,4.775e-06,4.084e-06
1,30,4.86e-06,4.1050000000000005e-06
2,12,3.051133402,31.867319779000002
2,18,0.8261786440000001,8.221743748
2,24,0.354562015,2.30081733
2,30,0.25655478000000004,0.7837820600000001
2,12,2.522241738,31.928351759
2,18,0.826557795,8.21291321
2,24,0.323249924,2.2941514570000003
2,30,0.25274066900000003,0.7811725070000001
2,12,3.0434461130000003,31.867369557000004
2,18,0.704436386,8.209654549
2,24,0.32723033100000004,2.304232819
2,30,0.256906821,0.775434979
2,12,2.5219268780000004,31.881980033
2,18,0.700599945,8.234699703
2,24,0.355492548,2.302352962
2,30,0.248285687,0.7750521330000001
2,12,2.530481225,31.890095776000003
2,18,0.8220469810000001,8.225492992000001
2,24,0.360334001,2.3055985910000003
2,30,0.25581966700000003,0.777587821
3,12,3.409084408,68.34005842
3,18,0.742306435,17.530149549
3,24,0.338429146,4.793047673
3,30,0.255844769,1.477681676
3,12,3.400551891,68.29187081
3,18,0.86376649,17.523011239000002
3,24,0.37063664,4.783424655
3,30,0.26546336600000003,1.480490384
3,12,2.8904534440000003,68.22128948800001
3,18,0.870141092,17.536810112
3,24,0.332986557,4.783985472
3,30,0.264917118,1.4801825720000001
3,12,3.417542108,68.318751508
3,18,0.740080344,17.552084745000002
3,24,0.33782865,4.792796
3,30,0.25423339500000003,1.47799459
3,12,3.384974499,68.425755822
3,18,0.868771386,17.527933838000003
3,24,0.334305267,4.784833938
3,30,0.26440677300000004,1.4831965950000001
4,12,3.8171974850000003,101.857410176
4,18,0.8083240770000001,25.784609788
4,24,0.40876303,6.918624328000001
4,30,0.29276423700000004,2.0787414550000003
4,12,3.8668912300000002,101.858844499
4,18,0.81751631,25.790763596
4,24,0.374037453,6.926870277000001
4,30,0.292355927,2.078213906
4,12,3.8659658680000004,101.678042704
4,18,0.817996075,25.730499944
4,24,0.41348719,6.942779259000001
4,30,0.27841652,2.088420188
4,12,4.338806040000001,101.67121776
4,18,0.817744589,25.773964832
4,24,0.413400419,6.943000093
4,30,0.28215785400000004,2.0789428030000003
4,12,4.309816196,101.734592308
4,18,0.9336966640000001,25.785523158
4,24,0.41208138200000005,6.941276135000001
4,30,0.28633816100000004,2.087319872
5,12,6.054892266,140.80151101200002
5,18,1.084989089,35.136123327
5,24,0.471540008,9.369408566
5,30,0.309911123,2.760575083
5,12,6.629078759,141.425366406
5,18,1.075249436,35.118251748
5,24,0.44584004800000004,9.383502221
5,30,0.322042054,2.7676585420000004
5,12,6.131605789,141.381279216
5,18,1.0809052380000002,35.152811785000004
5,24,0.472592202,9.394883631
5,30,0.310781189,2.7623476410000003
5,12,6.006590659,141.144377154
5,18,1.0693768430000001,35.129557678000005
5,24,0.45228405600000005,9.377308969000001
5,30,0.315218423,2.771374042
5,12,6.025400236,141.277873504
5,18,0.943693624,35.177839073
5,24,0.44124656,9.356083978000001
5,30,0.316641972,2.7657115460000004
6,12,10.570468001,179.300495813
6,18,1.3690230650000001,43.801693176
6,24,0.5711279810000001,11.609242712
6,30,0.398569671,3.3879743770000004
6,12,10.410618238000001,178.99015160000002
6,18,1.2438987160000001,43.841828408000005
6,24,0.5583913030000001,11.589584295
6,30,0.370861553,3.3779298890000002
6,12,10.884529171,178.777459017
6,18,1.331552381,43.79847084
6,24,0.6130853930000001,11.604471199
6,30,0.36824907100000004,3.376015279
6,12,10.533948489,178.92870173900002
6,18,1.210989887,43.764151674000004
6,24,0.583709429,11.602786757
6,30,0.370259096,3.3804417420000004
6,12,10.861055963,178.75088991200002
6,18,1.333497093,43.775524112
6,24,0.611874731,11.591759289
6,30,0.380462106,3.3777229280000003
7,12,17.802776171,218.318181081
7,18,1.73071371,52.664240393
7,24,0.85445623,13.941466718000001
7,30,0.51364948,4.032177768
7,12,17.855413027,218.381941852
7,18,1.8808202170000001,52.651368452
7,24,0.8676961780000001,13.984402376
7,30,0.488889171,4.011930501
7,12,17.52461903,217.707086828
7,18,1.8510214070000002,52.631962631
7,24,0.8350737840000001,13.907448347
7,30,0.496765149,4.014526949
7,12,16.908936528,217.39500051500002
7,18,1.7262088420000001,52.560328115000004
7,24,0.789451007,13.907935695
7,30,0.49590397,4.008743487
7,12,17.37294294,218.60325604800002
7,18,1.8919340450000002,52.743361294
7,24,0.808958179,13.917662573000001
7,30,0.488548191,4.0137571780000005
8,12,27.079349450000002,258.697115113
8,18,2.8783870470000004,61.770381179000005
8,24,1.3120003230000001,16.136126091
8,30,0.688255236,4.615840644
8,12,26.349348712,257.425041177
8,18,2.8519400040000003,61.327862013
8,24,1.324904721,16.180696975
8,30,0.719992976,4.631594936
8,12,26.6798815,258.404069349
8,18,2.7979056840000003,61.546070285000006
8,24,1.3313056920000002,16.154545631
8,30,0.693830481,4.616274359
8,12,26.808953587,258.84582352900003
8,18,2.8156268950000003,61.486327067000005
8,24,1.2566297480000002,16.122763682000002
8,30,0.6931218010000001,4.60866694
8,12,27.048087024,258.47290569300003
8,18,2.865898329,61.375330875
8,24,1.2932671930000001,16.170599207000002
8,30,0.698636335,4.6246650240000005
